aa	個, 各位
ac	apg, 跟, 一些
activity	
advisor	
ae	aum
afec	asset
aisamoney	非常歡迎
always	al大概
amu	aum, aum
announce	
another	拉得
asiamoney	最小
asian	center
balance	
ban	
bankging	consumerbanking
banks	
best	
bi	vis
boa	bo本
bonus	齁, 是
brake	呆帳
brokerage	mortgage
busu	利潤
buy	ir, 可以
by	
cape	方面
cardhol	的
cardhold	的
cardlink	
cards	cost
carrefour	pay國, 開戶
cet	tier, q, gdp
chain	
co	cost
color	
consultant	
coveragage	也
covi	單一
covid	一, 後面那
cpi	一到, eps, 十七年, eps
cs	bis
currency	
current	ratio
day	
dci	必須要, 個第一
delivetive	
delta	卡
depends	
der	
digit	
division	
dninteen	的
driven	
dywa	包括
epn	
eps	次, 以及, dps
es	
esc	
esg	就, 業界, 第二, 就, 業界, 因, 因為, 也提, 裡面, 業s, 營業, 醫, ncd, 營業, 月相關, 跟, 應該, 業界, 業界, 業界, 業區, 企業, 也, 一十一, 因, 業界, 也取得
etf	
face	fixed
fail	tmu, fair, ir
fat	
feel	是
fees	fixed, fixed, 銀行
fi	free
financial	
fingo	或
fit	
for	corporate
forbes	bank, 大
formosa	很多, 發放
frtb	會發七億
fvpl	equity, 欸, apg
giv	呃c
global	呃, 過
governance	大陸
gp	決定
gps	eps
grade	那
gri	i
grm	q人
holding	
home	
hrr	是
ht	
hte	
htt	當然
ibc	機構
icu	
idc	it
if	
ihf	
ihs	
im	
impact	銀行
inaf	但這個
incomeand	income很
inf	imf
inflation	上面, 開類也, 覺得
installment	
internal	
ipo	io
ir	還要, 呃還要, 的, 那
ird	idrp, 壓力, 阿法
irs	rm
issue	因素, 因素
ite	
ixml	開發每
jasons	監會
kpi	推
kyc	邁新
later	
limited	認者
loan	業界
lock	
lockdown	
logo	
ltb	
ltv	roe, 個vp, ldr
managed	
mark	延動, market, dividend
marking	
max	在
maybe	每
mgm	
mission	目前
mma	一
momo	
msci	資料
negative	那個
ni	一
nim	利差, 面下降, 面會, 日i, 因為, 呃nim, 那, 是, 你, 費, 明年
nineteen	一次
ninteen	季
not	會
now	
npl	在, 第二季, 的npl, 當然, 月, 而, 只有, 嗯f
nri	nii, 大家
oc	
oci	都, 歐, weal, oi, obu, 放, 公司i, 幾乎, 個某, 歐i, 都
ok	可以, 可以
online	房貸
only	呃
onlycard	一些
opec	歐的
operating	expands
oriented	
overlord	npl, bisratio
pb	區地, 企金
pbu	區域
pc	彼此
pchome	income, ecb
pecent	percent
percemt	個percent
percentc	percent
performers	
persona	
pertcent	個percent
pi	開, 安全, 派股, 前, 簡報, 開, 它, 台, 開發, 台北
picture	提存
pl	npl, pm這
position	
power	
powerpoint	
pread	spread
prime	
principle	
priv	台ing
program	
project	嗎
pv	p, 滿到
pvc	cev
qa	去, 機會
rank	在整個, 可能會
ranting	arating
rates	
ratings	請
re	our, 阿
reopen	有可能, 流程
revenue	
roe	銀行roe, 的roe, 一個
run	讓
sales	自由分配
sanction	
sasb	
sb	c
sbt	的
scoci	ipi
sdt	
service	
servtive	的
single	
six	活
slightly	
sme	跟, 利放, 二sme, 整體, 的sme, 一, a
smp	獲, sme
sop	
spead	spread
spread	spray, 部位, 對, 不會, 各位, 對, 對, 缺法那對, 會, 方面, expands, 各, 在, fed, spread呃, 的, 不會, 各位, 的
ss	fs
straight	
supply	掃
supposely	
sustainalytics	的
svpi	
swot	
syngo	
tcfd	一, 第一到, 幾c
team	淨在
teamwork	聽客
test	
tmfd	經營
tnu	tmu
topec	都在
travel	的
tw	一
twenty	連
ubear	因為, 啊
ubs	發行, 日f
um	呃
unlikely	minus
upc	ucb
very	呃
view	吼
voa	maybe
voci	boci
volatility	策略
vp	預計, bp, bp, bp, bp
vpl	att喔
workbase	
yo	yoy
you	obu
ytm	
一七	佔
一下來	以下
一九一八一七	一九年
一九九二年	一九年, 一九點, 九月
一九九四年	四年
一五	二零一八
一兆五	一兆我們
一兩點	兩點
一八年	一百一十七
一千三百三十五	三百三十五
一千六百億	對一千六百億
一千四	一千嘛
一千萬兩千萬	兩千萬一千萬
一千零八十四億	一三零八十元
一同	一頭
一年期	一年
一慣	一貫
一成	預測
一時	
一本初衷	出
一模一樣	
一百一十	一百一四
一百一十一點八億	十一百一十一點八億
一百一十九	一百一十九點左右
一百一十六點零五	一百一十六點五
一百三十七億	一百七億
一百三十九點七億	三十九點七億
一百三十五點五億	一百三十五點五一, 一百三十五點五元
一百三十六九	一百三十二點六九
一百三十六點二零	一百三十六點二
一百三十六點五四	個一百三十六點五
一百三十四點二九	一百四點二九
一百三十四點八億	百分之一百三十四點八億
一百九十八點三億	一百九十八點的, 一百九十八單月
一百二十二點七	二十二點七
一百二十六點十	一百二十六點七
一百五	一百
一百五十九點零五億	一百五十九點五億
一百五十八	一百玉山
一百五點二	一百五十點
一百八十	把
一百八十點二億	一百八十八億
一百六十八	把一百六十八
一百四十六點四億	一百四十六點七億
一百四十多萬	百分之多萬
一百零三點一三	一百零三點
一百零三點八	百分之一百零三點八
一百零三點四零	一百零三點四
一百零二年	一百零二
一致性	次性
一路	的
一點七五兆	一點七五
一點七幾	一點七四
一點三三	一點二零零四一點三三
一點三五兆	一點三兆
一點三八兆	一點三兆
一點三四	一點四
一點二零	一點二個, 一點二零零四一點三三, 一點二一, 一點所以
一點五九兆	一點無大
一點五五兆	一點五兆
一點五八八	一點五八元
一點五六	一點五個
一點八五兆	一點八兆
一點八兆	一點八的
一點八萬	一點七萬
一點六兆	一點六到
一點六兆多	一點六兆
一點四一點五	一點四點五
一點四二一	一點二一億
一點四二年	一點四二的
一點四四	一點四一, 的四十
七八八九月	七八九月
七十來億	七十八億, 七十億
七十四點七	了七十四點七
七十點九億	七十點九一
七千億	七千
七百四十三點八	七百四三點八
七百多萬	七百萬
七點九六	十七點九六, 今年九月
七點五二	七點五
七點八億	七點八, 七點七八億
三一零	三一, 三一年
三三	
三兆	三, 三到, 按照
三八	上八
三十七八	其他
三十七點九	九個
三十三點零	三十三點一
三十二十點五	三十二點五
三十億二十	三十一二十
三十八點五	三點
三十六點四二億	三十六點這
三十六點零	三十六點一
三十四點四	那四點四
三千三百六十六	三千三百六六億
三千億十	三千十
三千兩百六十二億	三千兩百六十億
三千兩百零四億	兩百零四億當初
三千六百多億	三千六百多出來
三四五	單五
三四十	三
三四月	三次
三四月份	三十四月份
三百三十億	三百三十一, 三百三十一
三百五十萬	三百一十萬
三點一	三點一七, 給一
三點三億	三點三而
三點三兆	
三點二五億	三點二一
三點二六兆	三點二六
三點四四	三點四
三點零二兆	三點六
三點零五兆	三點零兆
上上	上
上上下下	
上到	到
上架	些人
上班	放, 上
上綱	上班
上繳	上漲, 上漲
上臺	
上調	
上路	今年
下下	向, 下降
下下滑	一下下滑
下下降	向
下方	上
下載	下
不一	不
不不僅	不僅
不不只	那
不住	不錯
不便	
不如	不
不明	這
不滿	不能
不良	未來
不諱言	不免, 不元
並進	季第一
中授	中壽
中斷	東館
中端	中央
中階	中間, 中間
主地	董事上說
主流	主要, 主軸, 主軸
之上	
之於	
九九年	第九年
九六	十點九二
九十一	
九十一八	九十八
九十一點八	六十一點八
九十二點二億	九十二點, 九十二點元
九十八	只是
九十八點七億	九年七億
九十八點三億	只八點三億
九十八點五一	九十八點五
九十八點五億	八點五億
九十六點八億	九點八億
九千	首的
九千三百九十二	九千三百九億
九千多	十九千都
九州	九的
九成多	承做
九時	九十九點一
九百	五百
九百一十二億	一十二億
九百三十三億	三十三億
九百六十七億	provision
九點一九	九十九點一個
九點三萬	
也就是是	也覺得
事事	
二一	唯一
二一年	規模, 了今年, 二零一年
二七	零點二五
二三月份	三月份
二二	一點二二, 一點二二
二二年	二零一二年
二五	在, 九億第四五
二八	十一點八
二八九點四億	二八九點七億, 到八九點四億
二六	零點二五
二十一點二	二一點二, 二十一點二三
二十一點四	二十一點一
二十九點二	八十九點二
二十九點四	三十九點四
二十二十幾	二十幾
二十二點六	三十六點六
二十二點四億	二十二點元
二十五點一	一二十五點
二十五點三	二十五點
二十五點零億	二十五點
二十八點六	百分之八點六
二十八點六七億	二十八點六七
二十六點八	
二十四點四	在
二十多億	小調都
二十齁	關係齁
二零一二	二零零六
二零三二年	二零零三年
二零三五	
二零三五年	二零一三年, 二零一三五
二零三零	二零零三年, 二零一三年
二零三零年	二零一三年
二零二	二零一二年
二零二一	二零一零二啦, 二零一五一, 而會, 二零二一下, 二零一年, 對於二零一
二零二一二二年	二零一二年
二零二三年	二零零二成, 二零三年, 二零三年, 二零一二年, 二零零二年
二零二二	二零零二件, 二零一二年, 二零一二, 二零一六年, 零二
二零二五年	二零
二零二呃	呃
二零二四年	二零零二四年
二零二零	二零一五一, 二零一呃, 二零零, 二零一二年, 二零零的, 二零一二年, 二零零
二零二零一六一七	二零一二年
二零二零二二年	二零一二年
二零二零財	是二零
二零五零	二零零, 經營
二零五零年	二零一五年, 二零一五年, 二零一五年
二零四零年	二零一四年, 二零一四零年
二零年	幾年
二零零二年	二零一零年
二點三七兆	二點三一兆
二點九七兆	二點九人
二點九五兆	二點九兆
二點九兆	二點九, 第二點九兆
二點二五兆	二點二兆
二點二兆	二點
二點二零	二點會, 二零零, 二點二五
二點五八兆	二點五兆
二點六五兆	二點六兆
二點四兆	二點四
互利	獲利
互聯網	一, 固華
五五六百億	五六百億
五倍	五
五倍券	五倍
五六十	六十八
五六月	五六億, 五六, 五月
五十一點七	五十一點七月份
五十一點七億	五十一點七, 五十一點七跟
五十七億	多五十七
五十二五十三五十	不是單子五十二
五十二點七億	五十二點七, 五十二點七
五十五十一半	五十一
五十八點一	五十八點一四
五千億	五千多到
五時二	五十二
五百六十二	五百十二
五百六十二點五億	五百六十二, 快六十二點五
五萬	五萬呃
五趴	四點五趴
五點	五點五, 五點八, minus
五點九億	五點九一, 五點九年
五點八八	五點八
五點四六	五點四個, 五點到
五點零	五點
亞太區	開區家
交接	交易
交易型	非的
交通	交公
人們	人員, 剛剛, 當然
人材	
人民	人行, 我們, 你們
人資	是
介入	業務
以以	就
以内	
以為	來
以爲	以為
以至於	以, 以, 一, 以, 你自己, 一次
份額	
企業主	企業處, 企業組
企消金	企金, 金消, 製銷
企金法	是非常
估價	國家
估算	部分
伴隨	辦成
佈署	
低到	到
低吼	第一齁
低率	利率
低用電戶	利用
住宿	就數
佔比士	占比是
佔起來	放款
何時	的是
作帳	
來成	來
來至於	
供應	公益, 方面
供應鏈	公率
供電	公店, 禮拜或是
依樣	一樣
依然	個一, 原來
侷限	現在
便利性	便利
便宜	全年
便捷	遠, 變
便是	是, 是
促進	報告
俄國	額國
保全	保權, 之後, 保險
保持成	保持很
保款	我們
保証	保費
保障型	大型, 保險性, 當然
保障險	保型
保險金	一些
保額	
信保人	現法
修改	修齁
個位數	各位
個資類	固類
個項	各項
借借給	借
借息	資常, 具戲
倡議	舉對
偏期	長期
偏鄉	簽商, 天商, 像
做出	做上
做對	做
做為	做
停售	提後
停放	的
停止	指到, 儲值, 卡
健保費	建, 監費
健全	建確
偵測	分布, mo色
偽冒	為
傑出	出也
備用	費用
催款	他把, 支付寶
傲人	抱人
債債	在於
債元	債券
債券型	前, 債券, 代行
債券票	債票
債呃	在呃
債市	代事
債息	花
債票	大家
債票券	在跨界
傾向於	像於, 氣象
價期	降息
價碼	
儘快	這
儘管	主管, 以外
償券	產確
償還	
償金	長期
優化	遊化, 把
優秀	
優良	優
儲放	存放
允當	整
充沛	大
先前	先
克服	扣
免疫力	每一
入境圖	固出
入帳	
內包	賣, 辦法
內用	
全家	前加
全心全意	次決議
全盈	全
全盈加	加可以
全網銀	同仁
兩千四	零點四
兩千四百億	兩千四億
兩千零五十四億	兩千零十四億, 兩千零四億
兩年期	兩年
兩百兩百五十	個都是一
兩百八十	兩岸
兩百零五點七億	兩百五點七億
兩眼	
兩萬	兩位
兩萬兩千	兩岸兩千零
八八成	八
八十八點七	八八點七
八千七百一十八	八千七百一十八億
八千多	八千多到, 八千多點
八百三十二億	八百三一
公債值	房貸
公克	公
公園	透過
公家	東佳
六一	九億第四五
六七十	七十六七十
六之四	
六九	零點六九
六五	六兆, 六五點二十
六十一十四二十三	六十一只二十三
六十五點五	六十五
六十點一	
六百一十二點五	一十二點五
六百一十五點五	六百一十五點五percent, 六百一十五點五percent
六百五十六點三	六百五十六點三四
六百四十九點四	六百四九點四
六百多	六百多人
六點七億	十六點七億
六點多	六點
六點零	六點一
共同體	密體, 工具
共存	動能
共襄盛舉	申請
其餘	絕到, 七億, 許
典範	兩大
兼任	偏
内容	
再一次	但是
再生	在, 的, 身, 代升, 人員
再過來	包括, 後來
冒用	報用
净值	淨值, 淨值
净利	淨利, 證券, 淨利
净利收	說今天, q, 呃淨收益, 淨利息, 淨利收
净增量	認為, 到, 競爭量
净成長	淨成長
净手	所, 手净
净手收	淨手收, 進手
净提	淨提存
净提存	淨提存
净額	會進合
凱基	
凱西	證券
出國	出口, 處, 清楚, 出
出手	出售
出遊	也
分出來	更出來, 分
分別台	分點台
分向	分項
分子	分行, 子行
分子行	
分擔	
分期	申請
分歧	
分水嶺	分損率, 分利, 分水, 分名, 分利, 分損率
分片	方面
分留	分別
分紅	分口, 分恐
分過來	再來
分配款	分配, 分配
分開	
分開成	分開兩
分面	方面
分頁	後面
分類點	美元
切出去	儲蓄會
列作	要列做
列居	
列席	列期
列管	
初估	初步, 這
初衷	副動
初頭	出頭
判定價	看併
利呃	比呃
利基	利率
利得	
利話	利率
到來	倒來
到到	到, 到
制定	有
刷卡量	發卡量, 發卡量, 發卡量
剔除掉	提掉
剛剛好	剛好
剛性	當初, 當性
副四點八	四點八
副經	付
副行長	副行債
創新獎	創新
劃劃	
功夫	公布
功效	東效
加劇	加去
加加緊	叫家庭
加大	拉到
加强	加上
加重	加動
加量	分量
動工	動作
動性	流動性
動蕩	重大
勝任	深任
勞工	到風
北富銀	推出
匯入	匯率, 匯率
匯回	會回, 匯為
匯率息	淨利息
區返	七百
十一趴	其他
十一點七十	十一點七四
十一點四四	十點四四
十七點三	五十七點三
十三點九	四十三點九
十三點六	降三點六, 是三點六
十三點零	單點
十九點	十九點一
十九點三六	九點三六
十五十六	十六
十五點七	九點七
十五點五	十二點五
十五點六四	五點六十
十五點零	十五點八
十八點一	第十八點一
十八點七	八點七
十八點二五億	四十八點二億
十八點五	八點五
十八點六	十八點九
十分	是, 十三
十十十一億	十一億
十四十五	十五
十四樓	第四
十四點	十四點一
十四點一七	一七
十四點一三	四點一三
十四點一九	四點一九
十四點七七	四點七四
十四點九	十四點九元
十四點二	四點二
十四點五	四點五
十四點八	四點八
十四點八九	十四點八
十四點八五	四點八個
十四點六二	四點六二
十四點六四	四點六四
十四點四四	自然
十四點零	十四點三
十四點零七	是四點零七
十成	
十點九	是跟九
十點九六	
升到	升
升溫	例溫, 相關, 狀況
協會	結果
協調	一些
南韓	拿
占到	到, 漲到
占比表	占比是
厚望	自己
原定	的一
原幣	回
原有	有
原油	六過
原生	延伸
去去	去積極
去掉	掉
參閲	開業, 開業, 單月
及時	即使, 其實, 其實, 其實
反之	敢
反彈	的三, 反, 反倒
反復	緩步
反映出	反
反映出來	反映啦
反覆	管戶
反轉	完走, 優異
受制於	受於
受控	股建後
受理	送, 受益會
句點	據點
只不過	
叫起來	起來
召開	他, 到, 預估
可取	可喜
可否	說明, 能夠, 可以, 歐問
可喜	開始, 可
可惜	可地, 可以
可望	很, 成長率, 機會, 可能, 要比
可期	科技, 科技, 客群, 可, 呃科技, 客群
可見	跟
台中	開中, 臺中
台呃	呃
台大	了, 大
台管	台灣
台美	每一
台股	開戶, 吼
史密斯	是
右上角	又上漲
右下角	也
右右手	用
吃緊	
各自	科技
合宜	回覆
合計	合具, 投資
合資	投資
名列	每月
名列前茅	零點
含幣險	地準
吳洪真	宏跟
吼吼	齁
吼量	齁量
呃占率	呃飯率
呃卡	呃好
呃呃	呃
呃存	呃
呃客	呃
呃客群	噢客群
呃平	呃
呃成	呃
呃法	呃
呃玉民	呃
呃額	呃
周到	周導
周嚴	多元
周年慶	東南, 公年
周邊	大邊
呼吸	補線
呼吸器	付
呼應	歐
命運	密體, 民營
咱們	才, 增加, 加人
哎呀	欸
哲學	的折呃
商務客	商然後
問答欄	問題
問道	問到
啟動	提動, 舉
善用	概括用, 帶用
善盡	在
喜悅	十月, 十月
單日	日點
單行	大概
單點	日點
嚇一跳	下降
嚇到	達
嚴嚴	累積
嚴控	延後
四三	一千一點四三
四五六三	四十六
四五月	四月, 四月, 四月
四十七點五億	是七點五億
四十三點三億	四十三點元
四十四四十五	
四十四點三	是四十點三
四十點九二億	四十四點九億
四千七百二十七億	四千二十七億
四四	一點四四, 一點四四
四小	
四百七十二億	了四百七十二億
四百三十六萬	四百六萬
四百五十三點三萬	卡到五十三點八萬
四百四十	四百四
四百四十八萬	四百萬
四百零二萬	四百零萬
四萬五千多	五千多
四萬多	四萬
四點一二	十四點一二
四點一五	四點五
四點四二	四點二年, 四點二
回售	回收
回彈	回來
回復到	五成
回復性	回復是
回歸	微薄
回衝	類, 會從
回過	會不會
回頭	回到
回顧	回覆, 元
固資	補來
國人	不管, 國外, 國內, 國內
國内外	國內
國吼	當然
國境	國際
國發會	國會
圖書館	儲聯, 主計
圖資	投資
在下	上在
在來	第一, 在, 再來
在地	在
在檔數	
地域	第一
地步	一步
地球	
地緣	遞人, 認
地雷	地位
均勻	不經營
坊間	
坪數	評數
執行力	執率
執行期	這邊, 年輕
培訓	年可以
基層	整, 基礎, 經營
基建	機艦
基本盤	資本
基母	其實
基準	清楚
基礎值	基礎
基金會	經會, 基金
報告書	報告說, 報告
報酬率	報利
塞車	三成
墊高	變高
增加額	增加
增增	分量
增審	徵審, 升, 都, 增成
