asiamoney	最小	money
asset	開, 最, 機構	開加, 自己
aum	a, 二月, 一個, 還, 一個	二月, a, 一個, 還有, 呃就
banker	bank, center, 個	bankging, bankging, bank, 個
bi	vis	bis
bis	vip, vip, 表示, vip, 是, vis	vip, vip, 還是
boa	bo本	以及
bp	vp, vp, 比例	vp, vp, 比例, 第一
brokerage	mortgage	mortgage
busu	利潤	利基
cards	cost	cost
carrefour	pay國, 開戶	paypal, 開玩笑
ceo	區域	區域
ci	bis, eps, 個, bis, 為什麼, 歸類, bis, 呃, i, 因為, 爲類似, 下, bis, bis	bis, eps, bis, 為什麼, 個, 這樣, bis, 呃, i, 因為, 為什麼, 資料, 效率
con	consumption, 好	consumption, 好
cpi	一到, eps, 十七年, eps	七加, eps, 十七年, eps
djsi	一千i, 一千二, 第一家	一千i, 第一, 到, 第一
dps	eps, eps	eps, eps
epn		
eps	次, 以及, dps	一千四, 以及
esg	就, 業界, 第二, 就, 業界, 因, 因為, 也提, 裡面, 業s, 營業, 醫, ncd, 營業, 月相關, 跟, 應該, 業界, 業界, 業界, 業區, 企業, 也, 一十一, 因, 業界, 也取得	double, 業界, 商業, 第二, 就, 業界, 因的, 因為, 也提, 裡面, 業s, 那其實, 營業, 一月本業, 醫, ecb, 營業, 你ncd, 業質, 業本, 應該, 業界, 一月網, 業界, 業界, 業界, 企業, 齁, ucb, ucb, 業界, 也取得
etf		一些
gdp	需求, 大概	決戰, 大概
global	呃, 過	波及的, 過
governance	大陸	expansion
gps	eps	npl
gri	i	
ic	it	it
idc	it	it
imf	當然很, 啊另外	當然很, roa, 啊另外
installment		
investment		
ipo	io	idrp
ir	還要, 呃還要, 的, 那	他要, 呃還要, 的, 他
ird	idrp, 壓力, 阿法	idrp, 壓力, 阿法
jasons	監會	階方
kpi	推	推
kyc	邁新	
ldr	npl, 另外呃, 並要	另外呃
ltv	roe, 個vp, ldr	ldr, 的, ldr
magi	嘿, maybe	嘿, maybe
mgm		
mortgage	mobilge, 占	mobabanking
msci	資料	
ncd	分析	分析, 時間
npl	在, 第二季, 的npl, 當然, 月, 而, 只有, 嗯f	邊, 的npl, 我們, 也
obu	比例有	的比例
oc		二十
opec	歐的	
pb	區地, 企金	企金
pchome	income, ecb	提希望, onetier, fixed, ecb
pi	開, 安全, 派股, 前, 簡報, 開, 它, 台, 開發, 台北	開, 開業, 派包, 前, 台方, 開, 開, 台, income, 台北
pl	npl, pm這	npl, 企業
pmi	tmu	tmu
pml	的pml, 電腦	的pml, tmu
powerpoint		
priv	台ing	
pv	p, 滿到	p, 哪
qa	去, 機會	如果, 機會
qoq	q, q	q
revenue		netrevenue, 的
roa		
roe	銀行roe, 的roe, 一個	銀行roe, 的roe
sb	c	ncd
sme	跟, 利放, 二sme, 整體, 的sme, 一, a	跟, 台幣, 就, 二sme, 的sme, 一, a
sustainalytics	的	的
tcfd	一, 第一到, 幾c	一, 比較低
two		
ubs	發行, 日f	第二季, obu
um	呃	呃
vip	增加	去國家
voa	maybe	vip
vpl	att喔	att喔
yoy	包括, 因為, 包括, 包括, 十四	因為, 包括
中國	是中國, 呃中國, 針對	是中國, 的中國, 呃中國, 針對
中華		中小企業
主計處	淨值, 主估, 主進處, 主計度, 股利, 預估, 計處	淨值, 主較是, 主進處, 主計度, 股利, 預估, 支出
亞太	他	對
亞太區	開區家	一
亞洲	都, 架構, 亞為, 棟	喔, 說, 中國
佈局	布局, 布局	布局, 布局
俄國	額國	額國
元大	大, 筆聯貸, 剛剛, 人, 跟大, 聯貸, 聯貸, 聯大, 人大, 大, 舉, 聯貸	大, 筆聯貸, 關於, 延到, 跟大, 原大, 的, 聯大, 人大, 那, 員大
凱基		
凱西	證券	it
利差	力道, 可以, 個, 相利那, 其他, 差, 呃利差, 倒利差, 的利差	spread, 力道, 一, 可不可以, 相利那, 其他, 那利差, 到利差, 的利差
創投	放保, 放款, 報保, 看, 跟創投, 放分線	放款, 放款, 放款, 造成, 放款, 跟創投, 放頭
北富銀	推出	推出
南山	南商	南商
南韓	拿	拿
史密斯	是	實力是
吳洪真	宏跟	黃跟
國泰	而在, 我	國貸
國發會	國會	這樣子
基金	企金, 保經, 幾, 畢竟, 第一, 經營, 請, 已經, 經濟, 基, 一定, 資金, 畢竟, 直接, 之間, 警前度, 一百零七購, 整體, 第一, 監理, 最近, 最近, 已經, 現在, 已經, 既, 畢為, 幾乎	企金, 請, 畢竟, 第一, 經營, 已經, 經濟, 其中, 一定, 資金, 畢竟, 資金, 之間, 簡單, 一百零七購, 之間, fifty, 今天, 現在, 一定, 自己, 進行, 幾乎
大陸	大, 大幅	大部分
央行	銀行, 那, 分行, 系	銀行, 那, 分行
富比世	或許	
富比士	不比, 這	固資, 是
富邦	先進	全部, 互方
川普	雙頭, 他們	雙頭, 他們
廣州		
張智星	當性	子公司
拜登	大概, 帶動, 帶動	大概, 帶動, 帶動
摩根	回答, mobile, mobile	回答
政府	這, 這, 幅, 更	這, 這, 幅, 更, 正式
新加坡	新加多, 應該多	
日本		
智金	自己	現金
曼谷	的, 浪戶, 邁股, 内	的, 邁股, 慢, 那
東北亞	東南亞	東南亞
東協	風險, 一些	風險, 一些
柯志鴻		吼
柯治宏		
歐元區	歐區	啊
歐洲	呃	呃
歐盟	歐本	歐on
歐美	我們, 他們	我們, 他們
永豐	公	董事長
法金	法金處, 定制, 百	法治, 法跟
泰國	太多	太多
清華		
澳洲		
烏克蘭	可能	可能
玉山	未玉山, 欸玉山, 是玉山, 種名, 三, 那, 但, 事象, 的玉山, 對玉山, 第三, 今年, 第三, 一百玉山, 一般, 上, 但, 提供, 第三, 剛, 當, 呃玉山, 第三, 像, 第三, 佔, 第三, 拿要, 第三個, 呃玉山, 地方, 上玉山, 預長, 應該, 看到玉山, 三, 看, 的預放, 剛, 一般, 三, 稍微, 剛剛, 三, 但是, nim, 他, 但是, 呃玉山, 一玉山, 應該, 一, 張, 央行, 大概, 非常, 像, 家玉山, 呃, 放, 去年, 那, 一般, 三, 但	欸玉山, 是玉山, 呢玉山, 三, 單月份, 在, 但, 個, 的玉山, 玉山對, 第三, 第三, 第三, 上, 但, 剛, 但, 呃玉山, 第三, 以上, 第三, 上, 接下來, 市佔, 第三, 分支, 呃玉山, 地方, 應該, 三, 看, 的玉山, 剛, 一般, 三, 再, 剛剛, 三, 應該, nim, 他, 應該, 也, 呃玉山, 一玉山, 應該, 張, 央行, 大概, 非常, 像, 呃, 放, 那, 第三, 三, 但
玉輝	預會	預會
瑞士	類, 現在, 是	類, 現在
磯崎	積極	積極
第一金	第一, 第一	第一, 第一
經濟部		經濟
美元	內覺得, 每, 這個美元	面覺得, 每, 每, 外幣, 這個美元
美國	每, 很多, 每, 也, 很多, 每個	每, 整, 很多, 你們, 很多, 每個
美林	遠, 每一	遠, 每一, 美元
美滿	美, 呃美滿	沒, 呃美滿
美股	每股, 每股	每股, 每股
美金	元, 元, 已經, 沒	元, 元, 已經, 沒, 美麗
聯合國	連, 好	問有, 原則上
聯準會	會	會
聯貸	年, 連帶, 就, 聯貸案, 連帶, 連帶	聯, 剛剛, 聯貸案, 連帶, 連帶, 連帶
育輝	預估, 名	預估, 來
胡志明	股代, 治	股東
胡志明市	股助, 股市	國際是, 是穩健
臺商	台商, 開商, 台商, 來到, 改, 商	台商, 開商, 台商, 改, 台商
臺幣	台幣, 台幣, 台幣, 台幣, 台幣, 台幣, 台幣, 台幣, 台幣	台幣, 台幣, 台幣, 台幣, 台幣, 台幣, 台幣, 台幣, 台幣
花旗	有關係, 花, 花, 企lo, 發行, 花	發行, 花, 這, 企業, 發行, 的, 發行, 發行
英國	我們, 證照	我們
華南	的話, 黃	的話
華爾街日報	還有接	還有一些報告
董事會	齁所以, 會, 齁各位	齁所以, 齁各位
行政院		前面
許誠洲	吸承就	七成就
謝冠仁	下半, 最, 最人	下半, 最, 最關人
謝冠綸	謝冠仁	謝冠仁
證交所	最佳	最佳
財富處	財富, 還不錯, 還不錯	財富, 還不錯, 還不錯
道瓊	是	報手
金三角	就是	就是
金控	那, 一塊, 銀行, 在最後, 銀行, 控制, loan, 因為, 放, 後, 後	那, 這一, 銀行, 在最後, 銀行, 共同, 對金控, loan, 因為, 放, 後, 後
金管會		盡量
長安	長方	長方
陳美滿	保經, 成功	這邊, 安手
香港	相當, 相漲	相當, 相漲
麥克風	嘿	謝謝
